Nomre,Puntuacion,Clasificacion Edad,Desarrollador,Distribuidor,Géneros,Plataforma,Precio,Consola virtual,Lanzamiento en Europa:,Formato,Voces (idioma),Textos (idioma),Num Jugadores,Modo Online,Num genero,Num idioma
Hello Kitty & Friends: Rockin’ World Tour,--,Pegi 3,Intelligent Systems,,Rol (RPG),,,,,,,,,,,
Hatsune Miku: Project Mirai DX,8.5,Pegi 3,Intelligent Systems,,Rol (RPG),,,,,,,,,,,
GUILTY GEAR,7.5,Pegi 16,Koei Tecmo,,Acción-Estrategia,,,,,,,,,,,
Grip,6.9,Pegi 7,SQUARE ENIX,,Rol (RPG),,,,,,,,,,,
Guide: Louvre 3DS,--,Pegi 3,Zoink!,,Aventura-Plataformas,,,,,,,,,,,
Guacamelee! 2,--,Pegi 12,Shin'en,,Conducción,,,,,,,,,,,
Guacamelee! Super Turbo Championship Edition,8.5,Pegi 6,Flyhigh Works,,Acción-Aventura-Rol (RPG),,,,,,,,,,,
GRIS,8.5,Pegi 3,SQUARE ENIX,,Rol (RPG),,,,,,,,,,,
Legrand Legacy: Tale of the Fatebounds,7.2,Pegi 12,Full Fat,,Arcade-Deportes,,,,,,,,,,,
Let’s Sing 11,5.7,Pegi 12,Clickteam,,Estrategia,,,,,,,,,,,
LEGO Legends of Chima: Laval’s Journey,--,Pegi 7,Electronic Arts Inc.,,Deportes,,,,,,,,,,,
LEGO Legends of Chima: Laval’s Journey,--,Pegi 7,EA,,Deportes,,,,,,,,,,,
LEGO Marvel Vengadores,--,Pegi 7,David O'Reilly,,Aventura-Simulación,,,,,,,,,,,
LEGO Dimensions,7,Pegi 7,Atlus,,Aventura-Rol (RPG),,,,,,,,,,,
Lego City Undercover,7,Pegi 7,,,,,,,,,,,,,,
Lego City: Undercover,8.5,Pegi 7,,,,,,,,,,,,,,
Kirby Planet Robobot,8.5,Pegi 3,,,,,,,,,,,,,,
Kingdom Hearts: Dream Drop Distance 3D,8.5,Pegi 12,,,,,,,,,,,,,,
Katana ZERO,8.3,Pegi 16,,,,,,,,,,,,,,
Killer Instinct Gold,--,Pegi 16,,,,,,,,,,,,,,
Keep Talking and Nobody Explodes,6.3,Pegi 3,,,,,,,,,,,,,,
Kami,--,Pegi 3,,,,,,,,,,,,,,
Just Dance 4,8,Pegi 3,,,,,,,,,,,,,,
Just Dance 2020,8.2,Pegi 3,,,,,,,,,,,,,,
Kairobotica,--,Pegi 7,,,,,,,,,,,,,,
Just Dance 2019,8,Pegi 3,,,,,,,,,,,,,,
Just Dance 2017,--,Pegi 3,,,,,,,,,,,,,,
Inazuma Eleven GO Chrono Stones: Trueno,8,Pegi 3,,,,,,,,,,,,,,
Inazuma Eleven GO Chrono Stones: Llamarada,8,Pegi 3,,,,,,,,,,,,,,
Inazuma Eleven,8,Pegi 3,,,,,,,,,,,,,,
ICEY,8,Pegi 12,,,,,,,,,,,,,,
Ice Age: Una Aventura de Bellotas,--,Pegi 7,,,,,,,,,,,,,,
Hyrule Warriors: La era del cataclismo,--,Pegi 12,,,,,,,,,,,,,,
I Love My Dogs,--,Pegi 3,,,,,,,,,,,,,,
Hyrule Warriors: Legends,8,Pegi 12,,,,,,,,,,,,,,
Hyrule Warriors,9,Pegi 7,,,,,,,,,,,,,,
I Love My Cats,--,Pegi 3,,,,,,,,,,,,,,
I am Setsuna,7.5,Pegi 7,,,,,,,,,,,,,,
Horse Life 4,--,Pegi 3,,,,,,,,,,,,,,
Hot Wheels: El Mejor Piloto del Mundo,--,Pegi 7,,,,,,,,,,,,,,
Horizon Chase Turbo,8.8,Pegi 3,,,,,,,,,,,,,,
"Hora de aventuras: Finn y Jake, investigadores",--,Pegi 7,,,,,,,,,,,,,,
"Hora de aventuras: Finn y Jake, investigadores",--,Pegi 7,,,,,,,,,,,,,,
HoPiKo,--,Pegi 3,,,,,,,,,,,,,,
Homo Machina,--,Pegi 3,,,,,,,,,,,,,,
Hob: The Definitive Edition,8,Pegi 7,,,,,,,,,,,,,,
Hey! Pikmin,7.5,Pegi 3,,,,,,,,,,,,,,
Hill Climbing Mania,--,Pegi 3,,,,,,,,,,,,,,
Heroland,7.5,Pegi 12,,,,,,,,,,,,,,
Grab Lab,--,Pegi 3,,,,,,,,,,,,,,
Grand Guilds,--,Pegi 18,,,,,,,,,,,,,,
Goldeneye 007,--,Pegi 16,,,,,,,,,,,,,,
Golf Peaks,8.3,Pegi 3,,,,,,,,,,,,,,
Golazo!,6.9,Pegi 3,,,,,,,,,,,,,,
God Eater 3,--,Pegi 12,,,,,,,,,,,,,,
Giraffe and Annika,--,Pegi 7,,,,,,,,,,,,,,
Just Dance 2015,--,Pegi 3,,,,,,,,,,,,,,
Is It Wrong to Try to Pick Up Girls in a Dungeon? Familia Myth Infinite Combate,7,Pegi 12,,,,,,,,,,,,,,
Inventioneers,--,Pegi 3,,,,,,,,,,,,,,
Into the Dead 2,--,Pegi 18,,,,,,,,,,,,,,
Inside My Radio,--,Pegi 7,,,,,,,,,,,,,,
Gear.Club Unlimited 2,7,Pegi 3,,,,,,,,,,,,,,
Gear.Club Unlimited,8,Pegi 3,,,,,,,,,,,,,,
Galactic Pinball,--,Pegi 6,,,,,,,,,,,,,,
Fullblast,6,Pegi 3,,,,,,,,,,,,,,
FreezeME,6.7,Pegi 3,,,,,,,,,,,,,,
Fortnite,--,Pegi 12,,,,,,,,,,,,,,
Freedom Finger,7,Pegi 16,,,,,,,,,,,,,,
Fire Emblem: Awakening,9,Pegi 7,,,,,,,,,,,,,,
Fire Emblem Heroes,7,Pegi 12,,,,,,,,,,,,,,
Fire Emblem Warriors,8,Pegi 12,,,,,,,,,,,,,,
Forgotton Anne,8.2,Pegi 12,,,,,,,,,,,,,,
FINAL FANTASY X/X-2 HD Remaster,9,Pegi 12,,,,,,,,,,,,,,
Final Fantasy VII,9.2,Pegi 12,,,,,,,,,,,,,,
Feudal Alloy,8.8,Pegi 7,,,,,,,,,,,,,,
Fate/EXTELLA LINK,7.6,Pegi 12,,,,,,,,,,,,,,
Fe,8,Pegi 7,,,,,,,,,,,,,,
Fatal Frame: The Black Haired Shrine Maiden,--,Pegi 16,,,,,,,,,,,,,,
FAST RMX,9,Pegi 3,,,,,,,,,,,,,,
Fairune,--,Pegi 3,,,,,,,,,,,,,,
Faeria,--,Pegi 7,,,,,,,,,,,,,,
Final Fantasy IX,7.6,Pegi 12,,,,,,,,,,,,,,
Forever Forest,--,Pegi 7,,,,,,,,,,,,,,
Flick Golf 3D,--,Pegi 3,,,,,,,,,,,,,,
Five Nights at Freddy’s 4,--,Pegi 12,,,,,,,,,,,,,,
FIFA 19,7.6,Pegi 3,,,,,,,,,,,,,,
FIFA 18,7.5,Pegi 3,,,,,,,,,,,,,,
Everything,7,Pegi 3,,,,,,,,,,,,,,
Etrian Odyssey Nexus,8.5,Pegi 12,,,,,,,,,,,,,,
Etherborn,--,Pegi 3,,,,,,,,,,,,,,
Ethan: Meteor Hunter,--,Pegi 7,,,,,,,,,,,,,,
