Nomre,Puntuacion,Clasificacion Edad,Desarrollador,Distribuidor,Géneros,Plataforma,Precio,Consola virtual,Lanzamiento en Europa:,Formato,Voces (idioma),Textos (idioma),Num Jugadores,Modo Online,Num genero,Num idioma
El Silla – Arcade Edition,1,Pegi 7,Cooking Mama Limited,,Otros-Simulación,SWITCH,"69,99€",No disponible,30/07/2020,Físico y Digital,,,,,,
El Profesor Layton y la Máscara de los Prodigios,8.5,Pegi 7,Valhalla Game Studios,,Acción-Shooter en 3ª persona (TPS),GameCube,"34,99€",No disponible,17/01/2019,Digital,,,,,,
El Misterioso Viaje de Layton: Katrielle y la conspiración de los millonarios – Edición Deluxe,8,Pegi 7,CAPCOM,,Acción-Aventura,Nintendo 3DS,"49,99€",No disponible,21/12/2018,Físico y Digital,,,,,,
EL MISTERIOSO VIAJE DE LAYTON™: Katrielle y la conspiración de los millonarios,--,Pegi 3,Protoculture Games,,Shooter en 3ª persona (TPS),Nintendo 3DS,"9,99€",No disponible,23/03/2017,Digital,,,,,,
Earthlock: Festival of Magic,--,Pegi 12,Square-Enix,,Shooter en 1ª persona (FPS),SWITCH,"39,99€",No disponible,08/03/2019,Físico,,,,,,
Dynasty Warriors 8: Xtreme Legends Definitive Edition,8.5,Pegi 16,Diplodocus Games,,Acción-Arcade-Aventura-Plataformas,SWITCH,"16,99€",No disponible,13/12/2018,Digital,,,,,,
DYING: Reborn,--,Pegi 12,Intelligent Systems,,Acción-Estrategia,Wii U,"14,99€",No disponible,18/04/2019,Digital,,,,,,
EARTHLOCK,7.5,Pegi 12,Marmalade Game Studio,,Estrategia-Puzle-Tablero,Nintendo 3DS,"2,99€",No disponible,02/04/2015,Digital,,,,,,
Asterix & Obelix XXL 2,6,Pegi 7,PQube,,Aventura Gráfica,Consola virtual:,44€,No disponible,01/10/2012,Físico,,,,,,
Croixleur Sigma,--,Pegi 12,Nintendo EAD Group No. 2,,Simulación,Nintendo 3DS,"59,99 €€",No disponible,23/10/2018,Físico y Digital,,,,,,
Cooking Mama: Sweet Shop,6.5,Pegi 3,Nintendo,,Simulación,SWITCH,"14,95€",No disponible,16/07/2015,Digital,,,,,,
Devil’s Third,8,Pegi 18,Nintendo,,Estrategia,SWITCH,"24,95€",No disponible,23/07/2015,Digital,,,,,,
